"","X","SBL","STORIES","GROSS_SQ_FT","OVER_COND","BUILD_AGE","CLASS","CLASSDSCRP","CURRENT_LAND_VALUE","STRUCTURE_VALUE","CrowdednessRate","DisabledRate","HSCompletedRate","BothParentsRate","UnemploymentRate","YoungUnemploymentRate","MalePopRate","PovertyRate","NonWhiteRate","ChildrenRate","ElderlyRate","VacancyRate","OwnerOccupiedRate","MedianIncome","FIRE"
"1",1,"04738000010340000000",2,7.8935720735049,"NORMAL",77,"Commercial","APARTMENT",10.7144177687525,11.4616321705827,0.00140324945595392,0.29238308207918,0.881091808068705,0.258808954887037,0.0680544267053412,0.0988704310525932,0.446818037201635,0.20902830322142,0.166199071298017,0.0424458413391824,0.240449773570179,0.0717306692728733,0.49078731118913,27608.6036895399,"NO"
"2",3,"04738000020010000000",2,10.1344802187937,"NORMAL",62,"Community services","HEALTH FACILITY",11.6647878142795,14.4748941083714,0.00147326938019318,0.290815496169121,0.881523336245933,0.260053320928421,0.0681474773889153,0.102862429354829,0.446562205885828,0.207768895592765,0.16601397833948,0.0425656012659481,0.239759137373104,0.0714556578950519,0.492542205208895,27691.2655885656,"NO"
"3",4,"04739000010010000000",1,8.1870210673435,"NORMAL",90,"Green","MUNICIPAL PUBLIC PARK",14.0386541092785,14.9832134911172,0.00156140856969965,0.288842261363522,0.882066532260543,0.261619695292983,0.0682646070762485,0.107887449000209,0.446240172335084,0.206183587284396,0.165780988322337,0.0427163518272372,0.238889783181202,0.0711094810002668,0.4947512184041,27795.3181544939,"NO"
"4",5,"0474600002040000NHOM",2,7.9098566672694,"FAIR",102,"Commercial","APARTMENT",10.7913788098886,11.3071305519906,0.00105454253098027,0.300189832347301,0.878942750277577,0.252611875119427,0.0675910240654735,0.0789898403836265,0.448092105296056,0.215300291748226,0.167120854591944,0.0418494237301767,0.243889217802292,0.0731002561859523,0.482047745930595,27196.9383394993,"NO"
"5",6,"04747000010080000000",1,8.1886891244442,"NORMAL",57,"Commercial","RESTAURANT",10.5966347330961,11.9897805691651,0.00144307121308952,0.29149156404231,0.881337226932799,0.259516651200995,0.0681073465244191,0.101140761799227,0.446672540721363,0.208312052450402,0.166093805162378,0.0425139512488982,0.240056994697483,0.0715742647006589,0.491785355163228,27655.6151952382,"NO"
"6",7,"04747000010090000000",1,7.56216163122565,"NORMAL",47,"Commercial","DINER OR LUNCHEONETTE",10.5966347330961,11.8130300574206,0.00146279122216862,0.291050078155051,0.88145876004877,0.25986710730189,0.0681335527842063,0.102265045260244,0.446600489859765,0.207957360123308,0.16604167664521,0.0425476797464479,0.239862487887819,0.0714968120766177,0.492279593430102,27678.8956174465,"NO"
"7",8,"04747000010100000000",1,8.3850322878139,"NORMAL",77,"Commercial","FAST FOOD FRANCHISE",10.751499443657,12.1719986651964,0.00143580265623736,0.29165429040101,0.881292431296077,0.259387477320632,0.0680976872140008,0.100726364512615,0.446699097797562,0.208442787752508,0.166113019103363,0.0425015193326149,0.240128687555154,0.071602812801166,0.491603184915392,27647.0343131664,"YES"
"8",9,"04747000010110000000",1,8.6704291673151,"NORMAL",57,"Commercial","BAR",10.8197782844103,11.9447078813958,0.00142047362865838,0.2919974722583,0.88119795950963,0.259115055983792,0.0680773162051737,0.0998524210924379,0.446755105360241,0.208718502050725,0.166153540356376,0.0424753010348919,0.240279884252766,0.0716630193358197,0.491218996855787,27628.9376564838,"NO"
"9",10,"04747000010120000000",2,9.08239335764556,"FAIR",42,"Commercial","NIGHT CLUB",11.8670972786908,12.3987569893597,0.0013722086014631,0.293078015795042,0.880900505328756,0.258257309256974,0.068013175979059,0.0971007199343139,0.446931450958283,0.20958661700668,0.166281125708324,0.0423927500155206,0.240755942677508,0.0718525858309819,0.490009341054113,27571.9584630922,"NO"
"10",11,"04747000010130000000",1,7.83201418050547,"NORMAL",57,"Commercial","DINER OR LUNCHEONETTE",11.36789969292,10.902279505922,0.00133857446789405,0.293831007096486,0.880693220380802,0.257659576910082,0.0679684789995346,0.0951831599602978,0.44705433976087,0.210191574593543,0.16637003527739,0.0423352232270126,0.241087690395781,0.071984687793604,0.489166376133749,27532.251745567,"NO"
"11",12,"04747000010230000000",2,7.87853419614036,"NORMAL",87,"Commercial","APARTMENT",10.3385114628858,11.2212353711209,0.00125669229887805,0.295664161528301,0.880188585970998,0.256204399806917,0.0678596643745226,0.0905148675671449,0.447353512078865,0.211664341515671,0.166586485281861,0.0421951744812975,0.241895328941979,0.0723062895143249,0.487114181272176,27435.585894229,"NO"
"12",13,"04747000010260000000",2,7.70885960104718,"NORMAL",87,"Commercial","APARTMENT",9.7981270368783,11.1704351560235,0.00123828899729829,0.296076169347052,0.880075167636546,0.255877343704186,0.0678352079100145,0.0894656526549593,0.447420752095324,0.211995350991242,0.166635133171347,0.0421636980397934,0.242076848507371,0.0723785706168668,0.486652943356866,27413.8599087548,"NO"
"13",14,"04747000010360000000",2,7.46278915741245,"NORMAL",117,"Commercial","BAR",9.95227771670556,11.7675676833438,0.00116412267571373,0.297736583607422,0.879618085485818,0.254559289550359,0.0677366470075771,0.0852372586218982,0.447691733074605,0.213329337455919,0.166831186852282,0.0420368462424235,0.24280838237929,0.0726698674514252,0.484794129088917,27326.3029875992,"NO"
"14",15,"04747000010370010000",3,8.54578064826815,"NORMAL",117,"Commercial","DINER OR LUNCHEONETTE",10.2750511089686,11.8565151693603,0.00113487985897848,0.298391263371541,0.879437863934026,0.254039597926937,0.0676977857246436,0.083570057806873,0.447798577353067,0.213855310982452,0.166908488270761,0.0419868302272866,0.243096816677974,0.0727847220075978,0.484061222780215,27291.7804314773,"NO"
"15",16,"04747000010380000000",2,8.30943074214033,"NORMAL",107,"Commercial","BAR",9.7981270368783,11.7752897294377,0.00113026173138722,0.29849465268282,0.879409402718118,0.253957526413553,0.0676916486153298,0.0833067676404792,0.447815450574097,0.213938374555881,0.166920695980325,0.0419789315237657,0.243142367228219,0.0728028602396171,0.483945479660232,27286.3285090312,"NO"
"16",17,"04748000010010000000",2,8.69684451965431,"NORMAL",81,"Community services","MILITARY INSTALLATION",10.8097279485568,11.9210536904979,0.00215507070311277,0.275551524394228,0.885725232853329,0.272170020888175,0.0690535349125223,0.141733504311395,0.444071113079651,0.19550573197697,0.164211682416357,0.0437317332974912,0.23303424188174,0.0687778040805309,0.509630042381793,28496.1649471861,"NO"
"17",18,"04753000010010020000",1,8.04846874366888,"NORMAL",21,"Rec and ent","SOCIAL ORGANIZATION",10.8197782844103,11.9183905730784,0.000973559373119124,0.302002859976143,0.878443656414256,0.251172674882333,0.0674834041518727,0.0743728027017986,0.448387992903175,0.216756888679898,0.167334928120915,0.041710912625515,0.244687989020343,0.0734183269360379,0.480018082788622,27101.3338142069,"NO"
"18",19,"04754000010240000000",2,7.31188616407716,"NORMAL",117,"Commercial","RESTAURANT",10.5105320340427,11.4957793061353,0.0010260335078252,0.300828084151955,0.878767051047246,0.252105224181532,0.0675531379334699,0.0773644748427476,0.448196268517958,0.215813066956669,0.167196216276466,0.0418006627730304,0.244170414383809,0.0732122286826866,0.481333230529618,27163.2820621044,"NO"
"19",20,"04754000010340000000",2,7.9291264873068,"NORMAL",159,"Commercial","DETACHED ROW BUILDING",10.4399809230507,10.8415397761918,0.000923712552628853,0.303118816245887,0.87813645374558,0.250286817158793,0.0674171618533982,0.0715309198387283,0.448570117888504,0.217653454431313,0.16746669483701,0.0416256561554991,0.24517964934294,0.0736141061079234,0.478768782848169,27042.487237509,"NO"
"20",21,"04754000010410000000",3,9.9444855315702,"FAIR",45,"Commercial","APARTMENT",12.5981147333062,16.0103990755029,0.000271052157234729,0.317730389322963,0.874114150753494,0.238687998088244,0.0665498302103986,0.0343212367569914,0.450954738688124,0.229392477142497,0.169191958678924,0.0405093658709195,0.251617115512092,0.0761775055479668,0.462411298357032,26271.9901498822,"YES"
"21",22,"04754000010410000000",3,9.9444855315702,"FAIR",45,"Commercial","APARTMENT",12.5981147333062,16.0103990755029,0.000271052157234729,0.317730389322963,0.874114150753494,0.238687998088244,0.0665498302103986,0.0343212367569914,0.450954738688124,0.229392477142497,0.169191958678924,0.0405093658709195,0.251617115512092,0.0761775055479668,0.462411298357032,26271.9901498822,"YES"
"22",23,"04754000010410000000",3,9.9444855315702,"FAIR",45,"Commercial","APARTMENT",12.5981147333062,16.0103990755029,0.000271052157234729,0.317730389322963,0.874114150753494,0.238687998088244,0.0665498302103986,0.0343212367569914,0.450954738688124,0.229392477142497,0.169191958678924,0.0405093658709195,0.251617115512092,0.0761775055479668,0.462411298357032,26271.9901498822,"YES"
"23",24,"04754000010410000000",3,9.9444855315702,"FAIR",45,"Commercial","APARTMENT",12.5981147333062,16.0103990755029,0.000271052157234729,0.317730389322963,0.874114150753494,0.238687998088244,0.0665498302103986,0.0343212367569914,0.450954738688124,0.229392477142497,0.169191958678924,0.0405093658709195,0.251617115512092,0.0761775055479668,0.462411298357032,26271.9901498822,"YES"
"24",25,"04754000010410000000",3,9.9444855315702,"FAIR",45,"Commercial","APARTMENT",12.5981147333062,16.0103990755029,0.000271052157234729,0.317730389322963,0.874114150753494,0.238687998088244,0.0665498302103986,0.0343212367569914,0.450954738688124,0.229392477142497,0.169191958678924,0.0405093658709195,0.251617115512092,0.0761775055479668,0.462411298357032,26271.9901498822,"YES"
"25",26,"04754000010530000000",1,8.43163530305459,"NORMAL",57,"Commercial","FUNERAL HOME",11.717497630699,11.8078313825113,0.000607064541302989,0.310207840782766,0.876184972925873,0.244659475560718,0.0669963628561648,0.0534780822021155,0.449727052550535,0.22334881793527,0.168303732549747,0.0410840711272532,0.248302882918663,0.0748577779174154,0.470832703118244,26668.6689818723,"NO"
