"","SBL","PROB","RiskLevel"
"1","04738000010340000000",0.00125165207748224,"Low"
"2","04738000020010000000",0.00126851205789316,"Low"
"3","04739000010010000000",0.000613055981127249,"Low"
"4","0474600002040000NHOM",0.0599663459637494,"Low"
"5","04747000010080000000",0.000386948154558341,"Low"
"6","04747000010090000000",0.00254037750847499,"Low"
"7","04747000010100000000",0.00226488387127197,"Low"
"8","04747000010110000000",0.000402745364359903,"Low"
"9","04747000010120000000",0.0897021389837446,"Low"
"10","04747000010130000000",0.000745185556093984,"Low"
"11","04747000010230000000",0.00109578080330812,"Low"
"12","04747000010260000000",0.00032524640915194,"Low"
"13","04747000010360000000",0.000608051238638574,"Low"
"14","04747000010370010000",0.00572993185774132,"Low"
"15","04747000010380000000",0.00379436463022696,"Low"
"16","04748000010010000000",0.000658022649203878,"Low"
"17","04753000010010020000",0.00886713518583802,"Low"
"18","04754000010240000000",0.000372844304062447,"Low"
"19","04754000010340000000",0.00230370805540788,"Low"
"20","04754000010410000000",0.981847543192281,"High"
"25","04754000010530000000",0.00982446953843596,"Low"
"26","04755000010010030000",0.0115176611881888,"Low"
"27","04755000010040010000",0.00238273881534591,"Low"
"28","04755000010060010000",0.00536817959201055,"Low"
"29","04756000020020000000",0.000191009395052605,"Low"
"30","04756000020060000000",0.000336115212539404,"Low"
"31","04761000010280010000",0.000148220636318923,"Low"
"32","04761000010290000000",9.63914560933775e-05,"Low"
"33","04762000010160000000",0.76960503747416,"High"
"34","04762000010180000000",0.0267483400639951,"Low"
"35","04762000010220000000",0.00214862209682146,"Low"
"36","04762000010230000000",0.000158509390449006,"Low"
"37","04762000010250000000",0.00785651102847921,"Low"
"38","04762000010260000000",0.0114804909112238,"Low"
"39","04762000010290000000",0.0219346268885015,"Low"
"40","04762000010300000000",0.0275690122171968,"Low"
"41","04762000010310000000",0.00841064444152588,"Low"
"42","04762000010320000000",0.0743673269593938,"Low"
"43","04762000010350010000",0.0066598288377492,"Low"
"44","04762000010420000000",0.00312530857077288,"Low"
"45","04762000010580000000",0.00568091082734478,"Low"
"46","04762000020300010000",0.00615014072563656,"Low"
"47","04762000020310000000",0.00221794747126972,"Low"
"48","04762000020330010000",0.00407456584742942,"Low"
"49","04762000020370000000",0.0987319722120179,"Low"
"50","04762000020380000000",0.00502322332183742,"Low"
"51","04762000020390000000",0.221006149944289,"Mid"
"52","04762000020400000000",4.85627426878201e-05,"Low"
"53","04762000020410000000",0.0268485303391573,"Low"
"54","04763000010030050000",0.0166836273962215,"Low"
"55","04763000010060000000",0.00166364242677288,"Low"
"56","04763000010080000000",0.00345709193891896,"Low"
"57","04763000010090000000",9.18659404454606e-05,"Low"
"58","04770000010120000000",0.00499631917596255,"Low"
"59","04770000010150000000",0.000749215999689522,"Low"
"60","04770000010180000000",0.00201433782361824,"Low"
"61","04770000010190000000",0.00213511935019522,"Low"
"62","04770000020030000000",0.0311672215638092,"Low"
"63","04770000020040000000",0.00199253466163342,"Low"
"64","04770000020050000000",0.0365604633300941,"Low"
"65","04770000020080000000",0.0111608306329094,"Low"
"66","04770000020090000000",0.0295674102288464,"Low"
"67","04770000020130000000",0.0300227347011812,"Low"
"68","04770000020150000000",0.00530798962375106,"Low"
"69","04770000020160000000",0.0521215044207462,"Low"
"70","04770000020290000000",0.00599899377834816,"Low"
"71","04770000020320000000",0.804419271498809,"High"
"72","04770000020330010000",0.000772187692363827,"Low"
"73","04770000020550000000",0.000371500023335363,"Low"
"74","04770000020580010000",0.00235505265911698,"Low"
"75","04770000020620000000",0.000328603278362336,"Low"
"76","04770000020630010000",0.0451367163211315,"Low"
"77","04771000010020000000",5.32033915409707e-05,"Low"
"78","04771000010030000000",0.000304226862061524,"Low"
"79","04777000010690040000",0.979164640213723,"High"
"81","04778000010570000000",0.00323211753128935,"Low"
"82","06036000020010000000",0.0183416347621647,"Low"
"83","06036000020330000000",0.00342504442508239,"Low"
"84","06036000020760000000",0.0245127840786744,"Low"
"85","06044000020310040000",0.00195978778851325,"Low"
"86","06052000010210000000",2.91494987398064e-05,"Low"
"87","06052000010260020000",0.000280693443085539,"Low"
"88","06060000010130000000",7.07289955448546e-05,"Low"
"89","06060000010980010000",0.863428086704194,"High"
"90","06060000020170000000",0.0204400210639039,"Low"
"91","06060000020220010000",0.0366715541365817,"Low"
"92","06067000060010010000",0.00261229238334758,"Low"
"93","06067000060030000000",0.0065628937019017,"Low"
"94","06067000060040000000",0.0136575630935037,"Low"
"95","06068000010020000000",0.0128348329829052,"Low"
"96","06068000010060010000",0.145609046660246,"Mid"
"97","06068000010070000000",0.901592954066812,"High"
"99","06068000010120010000",0.0227884992435742,"Low"
"100","06068000010130020000",0.0145999279608083,"Low"
"101","06068000010180000000",0.0270119053061287,"Low"
"102","06068000010190000000",0.00933534404104762,"Low"
"103","06068000010200000000",0.00395826486353917,"Low"
"104","06068000010280000000",0.0195101685701815,"Low"
"105","06068000010290010000",0.0183565726000793,"Low"
"106","06068000010300000000",0.00095356355789971,"Low"
"107","06068000010310000000",0.01903401889458,"Low"
"108","06068000010320000000",0.00322114965937783,"Low"
"109","06068000010330000000",0.00419960782001574,"Low"
"110","06068000010350000000",0.0428381211939506,"Low"
"111","06076000010110010000",0.936108254360762,"High"
"112","06076000010130030000",0.0711887450844678,"Low"
"113","06076000010180030000",0.149010873211633,"Mid"
"114","06076000010200000000",0.0330826819479084,"Low"
"115","06076000010220000000",0.00188161931505819,"Low"
"116","06076000020010000000",0.9689286361751,"High"
"117","06102000010010000000",5.5198870269666e-05,"Low"
"118","0610200001002000LS01",0.00624426187450314,"Low"
"119","06121000010180010000",0.00034985616241048,"Low"
"120","06121000010250000000",0.00052254669048607,"Low"
"121","06121000010260000000",0.0346006349518583,"Low"
"122","06121000010280000000",0.943177892057764,"High"
"123","06121000010290000000",0.830338775802503,"High"
"124","06121000010410000000",0.013670665215189,"Low"
"125","06121000010420000000",0.0664753405055241,"Low"
"126","06122000010070000000",0.88317587304712,"High"
"128","06129000010060010000",3.94478555572536e-05,"Low"
"129","06129000020220020000",3.84621516792308e-05,"Low"
"130","06129000020230010000",0.00046961570534923,"Low"
"131","06129000030090000000",0.00506054397409981,"Low"
"132","06129000030110000000",0.00150630041478781,"Low"
"133","0612900003017000NHOM",0.00237623549449401,"Low"
"134","06129000030180000000",0.00064358235852542,"Low"
"135","0612900003019000NHOM",0.00179571091530282,"Low"
"136","06129000030340000000",0.00658319121239984,"Low"
"137","06130000010080060000",0.934819824749409,"High"
"138","0613700001001001NHOM",0.00030721650755932,"Low"
"139","06137000010060020000",0.0749657300652649,"Low"
"140","06137000010060030000",0.00235813720051371,"Low"
"141","06169000010010010000",0.980645224540446,"High"
"149","06169000010090000000",0.0194261456280012,"Low"
