SBL,Latitute,Longtitute,X,PROB,RiskLevel
0474600002040000NHOM,-77.61083379,43.25640643,4,0.0599663459637494,Low
0610200001002000LS01,-77.57525715,43.23566028,118,0.00624426187450314,Low
0612900003017000NHOM,-77.61986591,43.24117709,133,0.00237623549449401,Low
0612900003019000NHOM,-77.61980551,43.24141496,135,0.00179571091530282,Low
0613700001001001NHOM,-77.62101516,43.23980188,138,3.0721650755932e-4,Low
0758300001018003EBPK,-77.63211273,43.20325223,242,0.024838609691771,Low
0902200001001000HOME,-77.65997788,43.20194451,245,0.0465625960550127,Low
0902300001009002EBPK,-77.65390728,43.20033638,248,0.021985893198483,Low
0902500001001000EBPK,-77.64448395,43.20002886,251,0.00116571569710401,Low
0903500001002006EBPK,-77.6313729,43.19939701,319,0.0187816758830352,Low
0904000003011000NHOM,-77.64800928,43.19357404,344,0.0035419838531245,Low
0906600003005000NHOM,-77.63929809,43.18598262,513,0.0356738178787251,Low
0913800001076000NHOM,-77.61273282,43.19352687,657,0.0513344879457848,Low
0915400001010001NHOM,-77.61362358,43.19046455,759,0.0499630609762634,Low
0916100001010000NHOM,-77.62173607,43.18682602,810,0.0131097726232371,Low
0916100003027000NHOM,-77.62294562,43.18572051,821,0.190348977645577,Mid
0916200001053000NHOM,-77.6143604,43.18672944,836,0.0691848082103334,Low
0916300002042000NHOM,-77.60702804,43.18631167,870,2.03447219628473e-4,Low
0917500002025000NHOM,-77.58450169,43.1843531,998,0.00642724400954005,Low
10428000010260000000,-77.66887885,43.17882122,1136,0.205862163110813,Mid
10428000010270000000,-77.66887304,43.17813532,1137,0.881110912727599,High
10428000010280000000,-77.67242772,43.17781151,1138,0.975402059471135,High
10436000020010000000,-77.66888173,43.17728869,1144,0.282296407685967,Mid
10436000020030000000,-77.66888559,43.17576359,1147,0.0256355865012229,Low
10436000020040000000,-77.66887755,43.17499835,1148,0.0035429613905504,Low
10443000010040000000,-77.67710221,43.17443929,1151,0.00674135255558279,Low
10443000010350000000,-77.67830267,43.174442,1156,0.00284876280468956,Low
10444000010130000000,-77.66887625,43.17433359,1160,0.00858580203169652,Low
10444000010170000000,-77.67107092,43.17236912,1163,0.0176695642238292,Low
10444000010180000000,-77.6714637,43.17316515,1164,0.109106360625482,Mid
10444000010190000000,-77.67217715,43.17316788,1165,0.00493590478268193,Low
10444000010200000000,-77.6734428,43.17301595,1166,0.0415833233829686,Low
10451000010070000000,-77.67565333,43.17097081,1169,0.0019868283646881,Low
10452000010020000000,-77.67118519,43.17161834,1170,0.0106376610131216,Low
10452000010060000000,-77.67296461,43.17045608,1174,0.00149607956389638,Low
10452000010070000000,-77.66915915,43.17158185,1175,0.16732883726672,Mid
10460000010060000000,-77.66924252,43.16701817,1178,0.0022099406530318,Low
10460000010390000000,-77.67380255,43.16756479,1182,6.65198448427821e-5,Low
10467000010070000000,-77.6755708,43.16529371,1183,3.58144973811962e-4,Low
10467000010090000000,-77.67438492,43.16547065,1184,5.80481490873307e-4,Low
10468000010030000000,-77.67373797,43.16538209,1185,0.00216764313722177,Low
10468000010320000000,-77.67186594,43.1655621,1187,2.86199061626137e-5,Low
10468000010350000000,-77.67126306,43.16492795,1190,2.38858315054161e-5,Low
10468000010370000000,-77.66940231,43.16518496,1191,3.73770381963581e-4,Low
10468000010390000000,-77.66902499,43.16503053,1192,1.42813768535441e-4,Low
10468000010540000000,-77.67139828,43.16440263,1195,3.02634433524547e-5,Low
10468000010640000000,-77.67177351,43.1644026,1196,8.06112083656987e-5,Low
10468000010770000000,-77.6739406,43.16408755,1198,1.45749448286307e-4,Low
10468000010780000000,-77.67395394,43.16440866,1199,3.76333916090834e-6,Low
10476000010010000000,-77.6741129,43.16222114,1203,9.04185629146099e-6,Low
10476000010020000000,-77.67335084,43.16234142,1204,0.00207104240730789,Low
10476000010040000000,-77.67401698,43.16112826,1206,3.7566276613016e-5,Low
10476000010050000000,-77.67375,43.16128893,1207,1.92400989027381e-5,Low
10476000010060000000,-77.67383755,43.1615557,1208,0.00122392756765642,Low
10521000010160000000,-77.66536502,43.1780878,1214,0.158620248330768,Mid
10522000010040000000,-77.65716323,43.17840969,1217,0.0149613345997456,Low
10522000010050000000,-77.65753203,43.17745738,1218,0.00265264784747201,Low
10522000010060000000,-77.65837335,43.17793177,1219,0.00402693240997402,Low
10522000010190000000,-77.66219536,43.17889025,1223,0.00345774971644155,Low
10524000010010000000,-77.65007884,43.17966933,1230,3.56636378365576e-4,Low
10524000010020000000,-77.64941761,43.17839882,1231,0.002758799820896,Low
10524000020010000000,-77.64864288,43.17943407,1233,0.0109744035784763,Low
10524000020100000000,-77.64664442,43.17958741,1234,0.0788234213767989,Low
10524000020140000000,-77.64624449,43.17904749,1235,0.00494116817162756,Low
10524000020180000000,-77.6460944,43.17744621,1236,0.00137837670077334,Low
10524000020530000000,-77.64785107,43.17884688,1237,0.00231797915327205,Low
10525000010060000000,-77.64468867,43.17902025,1239,0.779896097330934,High
10525000020070000000,-77.64204263,43.17944276,1241,0.936205414217184,High
10525000020770000000,-77.64219714,43.17957824,1243,0.105626625806062,Mid
10525000030010000000,-77.64128086,43.17984021,1244,0.0337780195179834,Low
10525000030450000000,-77.6416604,43.17903103,1246,0.292954852446539,Mid
10526000010010000000,-77.63982361,43.1798437,1247,8.75707200219599e-4,Low
10526000010030000000,-77.63988879,43.17957533,1248,3.76476275593706e-5,Low
10526000010050000000,-77.63912759,43.1795862,1249,0.00940367379134173,Low
10526000020040000000,-77.63915709,43.17904559,1250,0.00117809899521012,Low
10526000020320000000,-77.63800826,43.17715911,1251,0.0046956273813136,Low
10526000020650000000,-77.63924623,43.17715712,1252,0.645166441866429,High
10526000020670000000,-77.63906273,43.17744847,1253,0.0235320954441686,Low
10526000020710000000,-77.63906138,43.17806569,1255,0.554379633634063,Mid
10526000020760000000,-77.6390638,43.17868222,1256,0.0434842703564097,Low
10526000020770000000,-77.639062,43.17880614,1257,0.141150527580398,Mid
10526000020790000000,-77.63973209,43.17892126,1258,0.0106030128976277,Low
10526000020820000000,-77.63981272,43.17855628,1260,0.986702704069753,High
10526000030220000000,-77.63515835,43.1775984,1262,0.00794229826656683,Low
10527000020110000000,-77.63252191,43.17955094,1264,0.0140361406103269,Low
10527000020130000000,-77.63213249,43.1796338,1265,0.00422933717551534,Low
10527000020140000000,-77.6321778,43.17914436,1266,0.0187896980785956,Low
10527000020150000000,-77.63202042,43.1790346,1267,0.94458816590588,High
10527000020160000000,-77.63198059,43.17888163,1269,0.0442049605378773,Low
10527000020200000000,-77.63180094,43.17810954,1270,0.0028660096726852,Low
10527000020210000000,-77.63153138,43.1778896,1271,0.114310962884827,Mid
10527000020330000000,-77.63192614,43.17705922,1273,0.0171044462192231,Low
10527000030110000000,-77.63041562,43.17712654,1277,0.00163939263095709,Low
10527000030120000000,-77.63052443,43.17740348,1278,0.0250104532566757,Low
10527000030130000000,-77.63062305,43.17760168,1279,0.819136188470409,High
10527000030140000000,-77.63044642,43.17767811,1280,0.0233136717176338,Low
10528000010050000000,-77.62477799,43.17940926,1282,0.119849452469451,Mid
10528000010340000000,-77.62475405,43.17881143,1283,0.134469458673661,Mid
10528000020080000000,-77.62567471,43.17814871,1284,0.0435717308710604,Low
10528000020230000000,-77.62381432,43.1779215,1285,0.824243523591747,High
10530000010020000000,-77.66181107,43.17687734,1289,0.0448074978546752,Low
10530000010030000000,-77.66058315,43.17676983,1290,0.0210318447258563,Low
10530000010040000000,-77.66002967,43.17714367,1291,0.0121018957221256,Low
10530000010050000000,-77.65850802,43.1770787,1292,0.955954984196857,High
10530000010080000000,-77.66004027,43.17536777,1294,0.018697558334814,Low
10530000010090000000,-77.66034461,43.1749853,1295,0.609066857590878,High
1053000001019000NHOM,-77.66202086,43.17635722,1296,0.00842396864667712,Low
10530000010250000000,-77.66061794,43.17582257,1297,0.00125484127225267,Low
10531000010010000000,-77.65686023,43.17626197,1298,3.18049184276076e-4,Low
10531000010030000000,-77.6520614,43.17648093,1299,0.00431592815559733,Low
10531000010040000000,-77.6521049,43.17547291,1300,0.0599264601934452,Low
