SBL,Latitute,Longtitute,X,PROB,RiskLevel
0474600002040000HOME,-77.61083379,43.25640643,415,0.0156494547655778,Low
0612900003017000HOME,-77.61986591,43.24117709,1958,0.0187666163568816,Low
0612900003019000HOME,-77.61980551,43.24141496,1959,0.014581003858437,Low
0613700001001001HOME,-77.62101516,43.23980188,2000,0.00510743889324247,Low
0904000003011000HOME,-77.64800928,43.19357404,4501,0.166926746341484,High
0906600003005000HOME,-77.63929809,43.18598262,6621,0.137552927785647,High
0913800001076000HOME,-77.61273282,43.19352687,8211,0.0228111164985251,Low
0915400001010001HOME,-77.61362358,43.19046455,8617,0.111150662352959,High
0916100001010000HOME,-77.62173607,43.18682602,9385,0.0481456812812431,Low
0916100003027000HOME,-77.62294562,43.18572051,9546,0.0285282754737775,Low
0916200001053000HOME,-77.6143604,43.18672944,9586,0.197459464158151,High
0916300002042000HOME,-77.60702804,43.18631167,9673,0.031530650163403,Low
0917500002025000HOME,-77.58450169,43.1843531,11956,0.0703541176686343,Mid
0927700001015001HOME,-77.57626947,43.18090736,14802,0.0335689398594513,Low
10427000010050000000,-77.67829691,43.17945748,14973,0.00969510780355343,Low
10460000010370000000,-77.67379964,43.16726245,14975,0.00949915850502452,Low
10460000010380000000,-77.67379997,43.16742705,14976,0.0624358528729689,Mid
10467000010030000000,-77.67463674,43.16436946,14977,0.0202788814614899,Low
10467000010040000000,-77.67447182,43.16436937,14978,0.0403734004557724,Low
10521000010090000000,-77.66359286,43.17881874,14979,0.0583110102188432,Mid
10521000010100000000,-77.66393908,43.17878617,14980,0.0138502814844576,Low
10521000010110000000,-77.66429388,43.17861774,14981,0.0645914605833265,Mid
10521000010120000000,-77.66452505,43.1789064,14982,0.070562134859629,Mid
10521000010170000000,-77.66629653,43.17820723,14983,0.123884668798926,High
10521000010180000000,-77.66659976,43.17820964,14984,0.0230912869626388,Low
10521000010190000000,-77.66683805,43.17892156,14985,0.00390008635872171,Low
10521000010240000000,-77.66736885,43.17869205,14986,0.00532003858888222,Low
10521000010250000000,-77.66736797,43.17854898,14987,0.010359373788019,Low
